"Trade ID";"Status";"Counterparty";"Timestamp";"B/S";"Instrument";"Tenor";"Price";"CommissionPriceShift (pts)";"Value Date 1";"First Rate";"Amount";"Contra Amount";"Value Date 2";"Second Amount";"Second Contra Amount";"Base Quantity";"Source Name";"Trader";"Account";"Counterparty Trader";"Counterparty Account";"Type";"Comment";"Reference ID";"Order ID";"Operation ID";"Operation Level";"External";"Ext Order Id";"Ext Exec Id";"Ext Client Id";"Responsible";"Initiator Id";"Initiator";"Send to STP";"Send to STP(Removed)"
"14061191";"0";"CSOL";"2019.04.17 17:10:32.829";"Sell";"USDJPY";"SPOT";"111.959";"";"2019.04.19";"";"500000";"55979500";"";"";"";"true";"CreditSuisseLnd";"ALFN_AggregatorLndCoverer";"ALFN_AggregatorLndCoverer";"ALFN_CreditSuisseLP";"ALFN_CreditSuisseLP";"Exchange";"";"";"d09c14d7-5bf8-4691-998c-7a122e3ae458";"84963cde-574f-40d7-827b-b3a44e3f2a62";"2";"true";"c040b1d6b6e27917025cf4e521ac4";"c040b1d6b6e27917025cf4e521ac4";"";"";"3455";"RONI04_00_OM";"true";""
"14061194";"0";"RONI";"2019.04.17 17:11:02.874";"Sell";"GBPUSD";"TOM";"1.3029";"";"2019.04.18";"";"1000000";"1302900";"";"";"";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RONI1";"RonIn Europe Limited";"Exchange";"";"";"141c81d6-e19b-483f-8ecb-b255f2a035e0";"24d29146-1003-4c53-8e23-025a0e57d9e0";"0";"true";"";"";"";"";"442";"RONI1";"true";""
"14061206";"0";"RONI";"2019.04.17 17:11:08.577";"Sell";"GBPUSD";"TOM";"1.30282";"";"2019.04.18";"";"1000000";"1302820";"";"";"";"true";"Executor_ALFA FX + SWAPS";"AlfaBankExecutor";"AlfaBankExecutor";"RONI1";"RonIn Europe Limited";"Exchange";"";"";"0abf06c8-0040-47ac-a661-e91fc57a6925";"6024f380-b946-40c4-b5b5-d30fe81a0509";"0";"true";"";"";"";"";"442";"RONI1";"true";""
"14061208";"0";"BIBK";"2019.04.17 17:11:10.849";"Sell";"EURUSD";"SPOT";"1.1294";"";"2019.04.23";"";"50000";"56470";"";"";"";"true";"Executor_ALFA FX";"AlfaBankExecutor";"AlfaBankExecutor";"BIBK";"BaikalInvest Bank";"Exchange";"";"";"0043c0e8-afbd-49f1-830d-ed3a729542e7";"b51683d9-337a-4288-86c2-b483460f2ff4";"0";"true";"";"";"";"";"766";"BIBK";"true";""
"14061210";"0";"BIBK";"2019.04.17 17:11:13.974";"Sell";"EURUSD";"SPOT";"1.12939";"";"2019.04.23";"";"50000";"56469.5";"";"";"";"true";"Executor_ALFA FX";"AlfaBankExecutor";"AlfaBankExecutor";"BIBK";"BaikalInvest Bank";"Exchange";"";"";"6f1ada3d-598a-46ee-878e-082c3013d27d";"d40e028a-ec5f-4543-a229-a9c39971c32c";"0";"true";"";"";"";"";"766";"BIBK";"true";""
"14061215";"0";"Nomura";"2019.04.17 17:11:14.379";"Sell";"EURUSD";"SPOT";"1.12938";"";"2019.04.23";"";"200000";"225876";"";"";"";"true";"NomuraLnd";"ALFN_AggregatorCoverer";"ALFN_AggregatorCoverer";"ALFN_NomuraLP";"ALFN_NomuraLP";"Exchange";"";"";"31ac3bb4-5ebb-44cb-9248-b7d1d661e62f";"1b0a0ed5-f43e-4751-bde4-57dd90708234";"2";"true";"281-107-b839eb7d8273c28f1f7822bf0df4d";"281-107-b839eb7d8273c28f1f7822bf0df4d-F";"";"";"1288";"ABOT_AGR2_OM";"true";""
"14061217";"0";"BIBK";"2019.04.17 17:11:17.546";"Sell";"EURUSD";"SPOT";"1.12938";"";"2019.04.23";"";"50000";"56469";"";"";"";"true";"Executor_ALFA FX";"AlfaBankExecutor";"AlfaBankExecutor";"BIBK";"BaikalInvest Bank";"Exchange";"";"";"8e921e4e-476c-43fb-a7c8-8f5c22394d79";"6be7db40-c9c7-4a75-a844-0ae64f93c960";"0";"true";"";"";"";"";"766";"BIBK";"true";""
"14061224";"0";"BIBK";"2019.04.17 17:11:19.301";"Sell";"EURUSD";"SPOT";"1.12931";"";"2019.04.23";"";"50000";"56465.5";"";"";"";"true";"Executor_ALFA FX";"AlfaBankExecutor";"AlfaBankExecutor";"BIBK2";"BaikalInvest Bank";"Exchange";"";"";"9423fdf5-8220-442a-b648-cb3f9803d019";"2fd43c11-346c-4251-b5c9-073da9fa55ac";"0";"true";"";"";"";"";"959";"BIBK2";"true";""
"14061226";"0";"BIBK";"2019.04.17 17:11:20.030";"Sell";"EURUSD";"SPOT";"1.12927";"";"2019.04.23";"";"50000";"56463.5";"";"";"";"true";"Executor_ALFA FX";"AlfaBankExecutor";"AlfaBankExecutor";"BIBK";"BaikalInvest Bank";"Exchange";"";"";"65c886b6-23e0-4fe9-92f1-e85b0f0499e3";"10015265-16ee-4d2f-9845-1319059da8b1";"0";"true";"";"";"";"";"766";"BIBK";"true";""
"14061228";"0";"CATX";"2019.04.17 17:11:21.865";"Sell";"EURUSD";"SPOT";"1.12924";"";"2019.04.23";"";"4000";"4516.96";"";"";"";"true";"Executor_Chartex PK";"AlfaBankExecutor";"AlfaBankExecutor";"CATX00_06_OM";"Chartex Sales Ltd (ALGO)";"Exchange";"";"";"54423847-a907-40d2-a841-e13680e01e92";"9f48ec92-20e4-4ec9-98ae-b5f4e962a3d3";"0";"true";"";"";"";"";"2077";"CATX00_06_OM";"true";""
